quesNo,rightAns,ans
1,0,"A. Common-use Applications, Data is Shared, Data is Accessible, Data is Secure, Interoperability, Control Technical Diversity."
1,0,"B. Business Continuity, Service-orientation, Data is Accessible, Data is Secure, Responsive Change Management."
1,1,"C. Maximize Benefit to the Enterprise, Business Continuity, Common-use Applications, Data is Shared, Data is Accessible, Data is Secure."
1,0,"D. Information Management is Everybody's Business, IT Responsibility, Data Trustee, Technology<p>Independence, Responsive Change Management. "
2,0,A. You recommend using conventional implementation planning techniques. The horizontal scope of the Green initiative would make the Capability-Based Planning approach used in the organization's TOGAF-based Enterprise Architecture framework difficult to manage and govern.<p>This approach to planning was better applied within the vertical scope of a business unit.
2,1,B. You recommend that the implementation planning activities be conducted using CapabilityBased Planning. This is appropriate because the Green initiative is an enterprise-wide plan with a horizontal scope. Its metrics are aggregated at the enterprise level. It is crucial to gain business unit support and cooperation to achieve the broader business outcomes which will benefit all. 
2,0,"C. The Capability-Based Planning approach used in the organization's TOGAF-based Enterprise Architecture framework is focused on business outcomes. The Green initiative is an infrastructure program that is technical in nature; therefore, it would not be appropriate to use the CapabilityBased Planning approach. Instead, the Global Mobile systems development lifecycle approach should be utilized to develop the Solution Architecture. "
2,0,"D. You recommend using conventional implementation planning techniques. The Capability-Based Planning approach is normally only used in public sector, defense-related programs. This approach is not appropriate for a private sector company. "
3,1,"A. You evaluate the implications of the Board's concern in terms of regulatory and security policy requirements. You then update the AGEX security policy to reflect the concern, ensuring that this policy is communicated across the organization. <p>You allocate a security architecture team to ensure that security considerations are included in ongoing architecture planning. You then assess the security implications and agreements within the AGEX businesses and their suppliers. "
3,0,"B. You evaluate the implications of the Board's concern in terms of regulatory requirements and their impact on business goals and objectives. Based on this understanding, you then issue a Request for Architecture Work to commence an architecture development project to develop a solution that will address the Board's concern. <p>You allocate a security architect to oversee the implementation of the solution in the ERP system that is being developed. "
3,0,C. You start by clarifying the intent that the Board has for raising this concern. This enables you to understand the implications of the concern in terms of regulatory requirements and the potential impact on current business goals and objectives. <p>You propose that a security architect or security architecture team be allocated to develop comprehensive security architecture. 
3,0,"D. You evaluate the implications of the Board's concern by examining the potential impacts on business goals and objectives. Based on your understanding, you then update the current AGEX security policy to include an emphasis on the Board's concern. <p>In addition, you allocate a security architect to ensure that security considerations are included in the architecture planning for all domains. "
4,0,"A. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal development projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You recommend that if a deviation from the contract is detected, the Manufacturing Architecture Board should modify the Architecture Contract to allow the implementation organization the ability to customize the process to meet their local needs. As a result, you then issue a new Request for Architecture Work to implement the modified Architecture Definition. "
4,0,"B. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal envelopment projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You recommend that if a deviation from the Architecture Contract is detected, the Manufacturing Architecture Board grant a dispensation to allow the implementation organization the ability to customize the process to meet their local needs. "
4,1,"C. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal development projects, you decide it is adequate to utilize a memorandum of understanding between the Manufacturing Architecture Board and the implementation organization. <p>You ensure that the Manufacturing Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
4,0,"D. You create an Architecture Contract to govern the implementation and migration process at each site. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. You ensure that the contract addresses the project objectives, effectiveness metrics, acceptance criteria, and risk management. <p>You then schedule compliance reviews at key points in the implementation process to ensure that the work is proceeding in accordance with the Architecture Definition. Based on the results, you ensure that the Manufacturing Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
5,0,"A. You decide that in Phase E, the team creates an overall solutions strategy that can guide the Target Architecture implementation and structure the Transition Architectures. You check that there is consensus before proceeding. "
5,1,"B. You decide to return to Phase A, where the team should brainstorm a technical solution that mitigates the residual risks presented by the privacy issue. Then, during Phase D, you will direct the team to develop an Architecture Building Block to manage the security risks. After that, the team should select Solution Building Blocks that mitigate all of the identified risks and revise the Requirements Impact Statement to reflect the changes to the high-level solutions strategy and migration plan. "
5,0,"C. You decide that in Phase E, the team review the Business Transformation Readiness Assessment and identify, classify, and mitigate the risks associated with the identified readiness factors. If the risks can be satisfactorily mitigated, then you would continue to define a high-level solutions strategy that includes the Transition Architectures needed to make the change culturally and technically feasible. "
5,0,"D. You decide that in Phase E, the team determines an approach to implementing an overall strategic direction that will address and mitigate the risks identified. "
6,1,"A. Depending on the nature of the architecture, a set of models should be created that can be used to ensure that the system will be compliant with the local regulations. Stakeholders should be able to view the models to see that their concerns have been properly addressed. "
6,0,B. Each architecture activity should be developed using a consistent modeling approach that is uniform across all architecture projects. Each architecture should be defined based on this fixed set of models so that all concerned parties can examine the models to ensure that their issues and concerns have been accessed. 
6,0,"C. For those groups that have sufficient power and level of interest, a special report should be created that summarizes the key features of the architecture with respect to the particular location.<p>Each of these reports should reflect the stakeholders' requirements. "
6,0,D. It would be beneficial to develop a stakeholder map that allows the architects to define groups of stakeholders that share common concerns. A set of views should be defined that addresses the concerns each group. Architecture models can then be created for each view to address the stakeholders' concerns. 
7,0,A. In the early iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Baseline Business Process catalog <p>¥ Describe the Baseline Application Architecture with a Technology Portfolio catalog ¥ Describe the Baseline Data Architecture with a Data diagram In the later iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with an Actor/Process/Data catalog <p>¥ Describe the Target Application Architecture with a System/Technology matrix ¥ Describe the Target Data Architecture with a Data Dissemination diagram 
7,1,B. In the early iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the key business objects with Product Lifecycle diagrams <p>¥ Describe the Target Application Architecture with Application Communication diagrams and anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a Data Entity/Business Function matrix and aSystem/Data matrix <p>In the later iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the Baseline Application Architecture with a System/Organization matrix and a<p>System/Function matrix <p>¥ Describe the Baseline Data Architecture with a Data Entity/Data Component catalog 
7,0,C. In the early iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with a Business Service/Function catalog and anOrganization/Actor catalog <p>¥ Describe the key business objects with Data Lifecycle diagrams <p>¥ Describe the Target Application Architecture with Application Communication diagrams and anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a System/Data matrix In the later iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with a Business Service/Function catalog and aBusiness Interaction matrix <p>¥ Describe the Baseline Application Architecture with an Application and User Location diagramand a System/Function matrix <p>¥ Describe the Baseline Data Architecture with a Data Entity/Data Component catalog 
7,0,D. In the early iterations of the Architecture Definition:  <p>¥ Describe the Baseline Business Architecture with an Organization/Actor catalog <p>¥ Describe the Baseline Application Architecture with a System/Function matrix ¥ Describe the Baseline Data Architecture using a Data Entity/Data Component catalog In the later iterations of the Architecture Definition:  <p>¥ Describe the Target Business Architecture with en Organization/Actor catalog <p>¥ Describe the Target Application Architecture using Application Communication diagrams end anApplication Interaction matrix <p>¥ Describe the Target Data Architecture with a System/Data matrix 
8,0,"A. An interoperability analysis should be applied to evaluate any potential issues across the Solution Architecture. Once all of the concerns have been resolved, the EA team should finalize the Architecture Implementation Roadmap and the Migration Plan. "
8,0,"B. The EA team should gather information about potential solutions from the appropriate sources. Once the Solution Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. "
8,1,"C. Prior to preparing the Implementation plan, the EA team should create a consolidated gap analysis to understand the transformations that are required to achieve the proposed Target Architecture. The EA team should gather information about potential solutions from the appropriate sources. Once the Solution Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. An interoperability analysis should be applied to evaluate any potential issues across the Solution Architecture. "
8,0,"D. Prior to preparing the Implementation plan, there are several techniques that should be applied to assess the risks and value of the proposed transformation. In particular, the EA team should pay attention to the Business Transformation Readiness Assessment and the Business Value<p>Assessment.  "
9,0,"A. You observe that all of the features in the Architecture Definition Document have been implemented in accordance with the specification, except for the RPC mechanism. Your recommendation is that the system be described as conformant. "
9,0,"B. You observe that the system has many features in common with the Architecture Definition Document, and those features have been implemented in accordance with the specification. However, you note that the RPC mechanism has been implemented using features that are not covered by the specification. Your recommendation is that the system be described as consistent. "
9,0,"C. You observe that the implementation of the RPC mechanism has no features in common with the Architecture Definition Document, therefore the question of its conformance should not be considered. Your recommendation is that the system be described as consistent. "
9,1,"D. You observe that the system meets most of the requirements stated in the Architecture Definition Document and appears to work correctly. However, you note that the RPC mechanism has not been implemented according to the specification. Your recommendation is that the system be described as non-conformant. "
10,1,A. The team should hold a series of interviews at each of the manufacturing plants using the business scenario technique. This will then enable them to identify and document the characteristics of the architecture from the business requirements. 
10,0,"B. The team should exercise due diligence and carefully research vendor literature and conduct a series of briefings with vendors that are on the current approved supplier list. Based on the findings from the research, the team should define a preliminary target Architecture Vision. The team should then use that model to build consensus among the key stakeholders. "
10,0,"C. The team should create Baseline and Target Architectures for each of the manufacturing plants. A gap analysis between the architectures will then validate the approach, and determine the Transition Architecture needed to achieve the target state. "
10,0,"D. The team should conduct a pilot project that will enable vendors on the short list to demonstrate potential solutions that will access the concerns of the stakeholders. Based on the findings of that pilot project, a complete set of requirements can be developed that will arrive the evolution of the architecture.  "
11,1,"A. Create an Implementation Factor Assessment and Deduction Matrix and a Consolidated Gaps, Solutions and Dependencies Matrix. For each gap, identify a proposed solution and classify it as new development, purchased solution, or based on an existing product. Group similar solutions together to form work packages. Identify dependencies between work packages factoring in the clinical trial schedules. Regroup the packages into a set of Capability Increments scheduled into a series of Transition Architectures and documented in an Architecture Definition Increments Table. "
11,0,B. Determine the set of Solution Building Blocks required by identifying which Solution Building Blocks need to be developed and which need to be procured. Eliminate any duplicate building blocks. Group the remaining Solution Building Blocks together to create the work packages using a CRLO matrix. Rank the work packages in terms of cost and select the most cost-effective options for inclusion in a series of Transition Architectures. Schedule the roll out of the work packages to be sequential across the geographic regions. 
11,0,"C. Use a Consolidated Gaps, Solutions and Dependencies Matrix as a planning tool. For each gap classify whether the solution is either a new development, purchased solution, or based on an existing product. Group the similar solutions together to define the work packages. Regroup the work packages into a set of Capability Increments to transition to the Target Architecture taking into account the schedule for clinical trials. "
11,0,"D. Group the Solution Building Blocks from a Consolidated Gaps, Solutions and Dependencies Matrix into a set of work packages. Using the matrix as a planning tool, regroup the work packages to account for dependencies. Sequence the work packages into the Capability Increments needed to achieve the Target Architecture. Schedule the rollout one region at a time. Document the progression of the enterprise architecture using an Enterprise Architecture State<p>Evolution table. "
12,0,"A. In the remaining architecture definition phases, the project team should map out the capability in the Technology domain. In the Phases E and F, the capability should be broken down into a set of Solution Building Blocks that define the Target Architecture. Where possible, the Solution Building Blocks should be drawn from the Architecture Repository. The completed Architecture<p>Definition Document and the Implementation and Migration Plan will be submitted for approval. Upon approval, the architecture team will conduct Compliance Assessments to ensure that the Target Architecture is properly implemented. "
12,1,"B. In the remaining architecture definition phases, the project team should map out the capability across the Business, Information System and Technology domains. In the Phases E and F, the capability should be broken down into a set of increments that are sequenced into Transition Architectures that will lead to the realization of the Target Architecture. The resulting Solution<p>Building Blocks will then provide the basis for the capability increment solutions. The complete Architecture Definition Document and the Implementation and Migration Plan will be submitted for approval. Upon approval, the architecture team will oversee the implementation process through monitoring Architecture Contracts and by conduction Compliance Assessments. "
12,0,"C. In the remaining architecture definition phases, the project team should map out the capability across the Business, Information System and Technology domains. In the Phases E and F, the capability should be broken down into a set of increments that defines the Target Architecture. The Solution Building Blocks will provide the basis for the capability increment solutions. The complete Architecture Definition Document and the Implementation and Migration Plan will be submitted for approval. Upon approval, the architecture team will oversee the implementation process through monitoring Architecture Contracts and by conducting Compliance Assessments. "
12,0,"D. The remaining architecture definition work should be focused on mapping out the technology and infrastructure capability in the Technology domain. In Phases E and F, the capability should be broken down into a set of Solution Building Blocks that will be implemented to realize the Target Architecture. The Solution Building Blocks will provide the basis for the completed Architecture Definition Document that will be submitted for approval. Upon approval, the implementation team will conduct Compliance Assessments to ensure that the self-service capability is compliant with the overall Enterprise Architecture. "
13,0,A. You define a set of principles that support the preferred best practices embodied in the Enterprise Architecture department charter. You publish the principles on the corporate intranet to ensure widespread acceptance and compliance. <p>You then schedule regular periodic Compliance Assessments with individual business units to check that they have made satisfactory progress toward meeting the objectives and conditions embodied in the principles. 
13,0,"B. You gather information from credible industry sources in the commodities business. Based on that, you assess current trends and apply that to defining a set of principles that embody best practices. <p>You select architecture principles that do not conflict with each other and that should be stable.<p>You ensure that all the principles are realistic and avoid including principles that are obvious. "
13,0,"C. You examine the mission statements for AGEX and each of its businesses, together with the corporate value statements. Based on that, you define a set of principles and review with the CIO. When developing the principles you ensure that they actively promote the alignment of IT with the business strategies and initiatives of AGEX. You then seek the endorsement of the CIO and senior management. "
13,1,"D. You examine the mission statements for AGEX and each of its businesses, together with the corporate value statements. Based on that, you work with the Architecture Review Board to define the principles. <p>When developing the principles you ensure that they actively promote the alignment of IT with the AGEX business strategies. You then run a series of reviews with all the relevant stakeholders, including senior management, ensuring their support. "
14,0,A. You would apply the Business Value Assessment Technique to prioritize the implementation projects and project increments. The assessment should focus on return on investment and performance evaluation criteria that can be used to monitor the progress of the architecture transformation. You would confirm the Transition Architecture phases using an Architecture Definition Increments Table to list the projects. You would then document the lessons learned and generate the final plan. 
14,1,"B. You would assess how the plan impacts the other frameworks in use in the organization. Minimally, the plan should be coordinated with the business planning, portfolio/project management and operations management frameworks. You would then assign a business value to each project, taking into account available resources and priorities for the projects. Finally, you would generate the Implementation and Migration Plan. "
14,0,"C. You would conduct a series of Compliance Assessments to ensure that the implementation team is implementing the architecture according to the contract. The Compliance Assessment should verify that the implementation team is using the proper development methodology. It should include deployment of monitoring tools and ensure that performance targets are being met. If they are not met, then changes to performance requirements should be identified and updated in the Implementation and Migration Plan. "
14,0,D. You would place the strategic Architecture Definition and Transition Architectures under configuration control as part of the ongoing architecture development cycle. This will ensure that the architecture remains relevant and responsive to the needs of the enterprise. You would then produce an Implementation Governance Model to manage the lessons learned prior to finalizing the plan. You recommend that lessons learned be accepted by the Architecture Board as changes to the architecture without review. 
15,0,"A. in the early iterations of Architecture development, you would describe the Baseline Application<p>Architecture with a System/Function matrix, and describe the Baseline Data Architecture using a Data Entity/Data Component catalog. In the later Iterations of the Architecture Definition, you would describe the Target Application Architecture using Application Communication diagrams and an Application Interaction matrix, and describe the Target Data Architecture with a System/Data matrix. "
15,0,"B. In the early iterations of Architecture development, you would describe the Target Application Architecture with Application Communication diagrams and an Application Interaction matrix, and describe the Target Data Architecture with a System/Data matrix. In the later iterations of<p>Architecture development, you would describe the Baseline Application Architecture with an Application and User Location diagram and a System/Function matrix, and describe the Baseline Data Architecture with a Data Entity/Data Component catalog. "
15,1,"C. In the early iterations of Architecture development, you would describe the Target Application Architecture with Application Communication diagrams and an Application Interaction matrix, and describe the Target Data Architecture with a Data Entity/Business Function matrix and a System/Data matrix. In the later iterations of Architecture development, you would describe the Baseline Application Architecture with a System/Function matrix, and describe the Baseline Data Architecture with a Data Entity/Data Component catalog. "
15,0,"D. In the early iterations of Architecture development, you would describe the Baseline Application Architecture with a Technology Portfolio catalog, and describe the Baseline Data Architecture with a Data diagram. In the later iterations of Architecture development, you would describe the Target Application Architecture with a System/Technology matrix, and describe the Target Data<p>Architecture with a Data Dissemination diagram. "
16,0,A. You recommend that each project architecture activity is developed using a consistent modeling approach that is uniform across all architecture projects. Each architecture should be defined based on this fixed set of models so that all concerned parties can examine the models to ensure that their issues and concerns have been addressed. 
16,0,B. You recommend that a special report be created for those groups that have sufficient power and level of interest. This report should summarize the key features of the architecture with respect to the particular location. Each of these reports should reflect the stakeholders1 requirements. 
16,0,C. You recommend that a set of models be created for each project architecture that can be used to ensure that the system will be compliant with the local regulations. Stakeholders should then view the models to verify that their concerns have been properly addressed. 
16,1,D. You recommend that a stakeholder map be developed. This will allow the architects to define groups of stakeholders that share common concerns. A set of views should be defined to address the concerns for each group of stakeholders. Architecture models should then be created for each view to address the stakeholders' concerns. 
17,1,"A. You review the applicable Architecture Contract for each location, ensuring that it addresses the project objectives, effectiveness metrics, acceptance criteria, and risk management. In cases where the contract is issued to an external party, you ensure that it is a legally enforceable contract. <p>You schedule compliance reviews at key points in the implementation process to ensure that the work is proceeding in accordance with the Architecture Definition. You ensure that the Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
17,0,"B. You create an Architecture Contract to manage and govern the implementation and migration process at each location. For internal development projects, you issue a memorandum of understanding between the Architecture Board and the implementation organization. For contracts issued to an external party, you ensure that it is a fully enforceable legal contract. <p>You ensure that the Architecture Board reviews all deviations from the Architecture Contract, and considers whether or not to grant a dispensation to allow the implementation organization to customize the process to meet their local needs. "
17,0,"C. You create an Architecture Contract to manage and govern the implementation and migration process. If the contract is issued to an external party, you ensure that it is a fully enforceable legal contract. For internal development projects, you decide it is adequate to utilize a memorandum of understanding between the Architecture Board and the implementation organization. <p>You recommend that if a deviation from the Architecture Contract is detected, the Architecture Board grant a dispensation to allow the implementation organization the ability to customize the process to meet their local needs. "
17,0,"D. You use the issued Architecture Contracts to manage the architecture governance processes for the project across the locations. You deploy monitoring tools to assess the performance of the completed blade assembly at each location and develop change requirements if necessary. You recommend that if a deviation from the contract is detected, the Architecture Board should modify the Architecture Contract to allow the implementation organization the ability to customize the process to meet their local needs. As a result, you then issue a new Request for Architecture<p>Work to implement the modified Architecture Definition. "
18,0,A. You start by clarifying the intent that the Board has for raising these concerns. This enables you to understand the implications of the concern in terms of regulatory requirements and the potential impact on current business goals and objectives. You propose that a security architect or security architecture team be allocated to develop a comprehensive security architecture and that this be considered an additional domain architecture. 
18,0,"B. You evaluate the implications of the Board's concerns by examining the security and regulatory impacts on business goals, business drivers and objectives. Based on your understanding, you then update the current security policy to include an emphasis on the concerns. You define architecture principles to form constraints on the architecture work to be undertaken in the project. You then allocate a security architect to ensure that security considerations are included in the architecture planning for all domains. "
18,1,"C. You identify and document the security and regulatory requirements for the application and the data being collected. You ensure that written policies are put in place to address the requirements, and that they are communicated across the organization, together with appropriate training for key employees. You identify constraints on the architecture and communicate those to the architecture team. You establish an agreement with the security architects defining their role within the ongoing architecture project. "
18,0,"D. You evaluate the implications of the concerns raised by the Corporate Board in terms of regulatory requirements and their impact on business goals and objectives. Based on this understanding, you then issue a Request for Architecture Work to commence an architecture development project to develop a solution that will address the concerns. You allocate a security architect to oversee the implementation of the new application that is being developed. "
19,0,"A. You recommend that the target architecture is defined first, followed by transition planning. This is because the vision is well understood and the strategic architecture agreed. This will ensure that the current problems and inefficiencies of the baseline architecture are not carried forward, and that the proposed solution addresses the requirements identified in the initial study. "
19,0,"B. You recommend that the team focus on architecture definition, with a specific emphasis on understanding the strategic change parameters of the business strategy. Once understood, the team will be in the best position to identify the requirements, drivers, issues, and constraints for this engagement. You would ensure that the target architecture addresses non-functional requirements so as to ensure the target architecture is robust and secure. "
19,0,C. You recommend that the team focus on defining the target architecture by going through the architecture definition phases (B-D). This is because the initial study identified the need to change. This will ensure that the change can be defined in a structured manner and address the requirements needed to realize the vision. 
19,1,D. You recommend that this engagement define the baseline Technology Architecture first in order to assess the current infrastructure capacity and capability. Then the focus should be on transition planning and architecture deployment. This will identify retirements to ensure that the projects are sequenced in an optimal fashion so as to realize the vision. 
20,0,"A. You recommend that before preparing the detailed Implementation and Migration plan, the EA team should review and consolidate the gap analysis results from Phases B to D to understand the transformations that are required to achieve the proposed Target Architecture. The EA team should assess the readiness of the organization to undergo change. Once the Solution<p>Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. "
20,0,"B. You recommend that the EA team apply an interoperability analysis to evaluate any potential issues across the Solution Architecture. This should include the development of a matrix showing the interoperability retirements. Once all of the concerns have been resolved, the EA team should finalize the Architecture Roadmap and the Implementation and Migration Plan. "
20,1,"C. You recommend that the EA team apply the Business Transformation Readiness Assessment technique which will allow the risks associated with the transformations to be identified and mitigated for, it will also identify improvement actions to be worked into the Implementation and Migration Plan. A Business Value Assessment should be used to determine the business value and associated risks for the transformation. "
20,0,"D. You recommend that the EA team should gather information about potential solutions from the appropriate sources. Once the Solution Architecture has been assembled, it should be analyzed using a state evolution table to determine the Transition Architectures. A value realization process should then be established to ensure that the concerns raised are addressed. "
21,0,"A. Common-use Applications, Control Technical Diversity, Ease of Use, Interoperability, Data is<p>Shared, Data is Accessible, Data Security "
21,1,"B. Business Continuity, Common-use Applications, Maximize Benefit to the Enterprise, Data is<p>Shared, Data is Accessible, Data Security "
21,0,"C. Technology Independence, Data Trustee, Information Management is Everybody's Business, IT<p>Responsibility, Responsive Change Management "
21,0,"D. Service-orientation, Responsive Change Management, Business Continuity, Data is<p>Accessible, Data Security "
22,0,"A. In Phase B, the team should create a set of views that will enable them to identify the factors that will influence the successful introduction of the architecture into the organization. There should then be an assessment of each factor on a maturity scale that will allow the team to gauge the urgency, readiness, and degree of difficulty to fix. These factors can then be used to assess the initial risks associated with the proposed architecture. "
22,0,"B. In Phase A the team should analyze their risk by completing an Implementation Factor Assessment and Deduction Matrix to identify the particular risks associated with the implementation and deployment. The matrix should include a list of factors to be considered, their descriptions, and constraints that should be taken into account. These factors can then used to assess the initial risks associated with the proposed architecture. "
22,1,"C. In Phase A, the team should use the Business Transformation Readiness Assessment technique to identify the factors that will influence the successful introduction of the architecture into the organization. The assessment should include determining the readiness rating for each factor based on a maturity scale that will allow the team to gauge the urgency, readiness, and degree of difficulty to fix. These factors can then used to assess the initial risks associated with the proposed architecture. "
22,0,"D. In Phase A, the team should conduct a Business Scenario to identify the stakeholders' concerns and the resulting retirements. Once the retirements have been identified, they can be assessed in terms of their risks. The risks should be evaluated in terms of how they could be avoided, transferred, or mitigated. Any risks that cannot be resolved should be identified as residual risks and their disposition should be decided by the Architecture Board. "
