quesNo,rightAns,ans
23,1,A. You recommend that the architecture team incorporate the Process Modeling and Infrastructure Consolidation extensions into their tailored Content Metamodel. As the environment is processcentric this will enable them to model the manufacturing processes and store information to support regulatory compliance. It also includes views useful for managing the consolidation of applications into a single data center. 
23,0,B. You recommend that the architecture team incorporate the Process Modeling and Governance extensions into their tailored Content Metamodel. This is suitable as this is a significant IT change that will impact its operational models. This will ensure that they include specific entities and attributes that will allow them to model the event-driven nature of the manufacturing processes more precisely. 
23,0,C. You recommend that the architecture team incorporates the Governance and Motivation Extensions into their tailored Content Metamodel. This would allow modeling of the target milestones they want to achieve with this consolidation of application to a single data center. These extensions will also enable demonstration of regulatory compliance for the manufacturing process. 
23,0,D. You recommend that the architecture team incorporates the Data and Services Extensions into their tailored Content Metamodel. This would allow modeling of the location of IT assets and ensure regulatory compliance for the manufacturing process. It will also allow for identification of redundant duplication of capability which will be needed for a successful consolidation to a single data center. 
24,0,"A. The team should develop Baseline and Target Architectures for each of the manufacturing plants, ensuring that the views corresponding to selected viewpoints address key concerns of the stakeholders. A consolidated gap analysis between the architectures will then be used to validate the approach, and determine the capability increments needed to achieve the target state. "
24,0,"B. The team should exercise due diligence and carefully research vendor literature and conduct a series of briefings with vendors that are on the current approved supplier list. Based on the findings from the research, the team should define a preliminary Architecture Vision. The team should then use that model to build consensus among the key stakeholders. "
24,1,C. The team should use stakeholder analysis to understand who has concerns about the initiative. The team should then hold a series of interviews at each of the manufacturing plants using the business scenario technique. This will then enable them to identify and document the key highlevel stakeholder requirements for the architecture. 
24,0,"D. The team should conduct a pilot project that will enable vendors on the short list to demonstrate potential solutions that will address the concerns of the stakeholders. Based on the findings of that pilot project, a complete set of retirements will be developed that will drive the evolution of the architecture. "
25,0,"A. Since the initial engagement has identified the need to change, you recommend that the team focus on defining the target architecture by going through the architecture definition phases (B-D). This will ensure that the change can be defined in a structured manner and address the requirements needed to realize the vision. "
25,0,"B. Since the vision is well understood and the strategic architecture agreed, you recommend that the target architecture is defined first, followed by transition planning. This will ensure that the current inefficiencies of the baseline architecture are not carried forward, and that the proposed solution addresses the requirements identified in the initial architecture engagement. "
25,0,C. You recommend that this engagement define the Technology Architecture first in order to assess the current infrastructure capacity and capability. Then the focus should be on transition planning and architecture deployment. This will identify requirements to ensure that the projects are sequenced in an optimal fashion so as to realize the vision. 
25,1,"D. You recommend that the team focus on architecture definition, with a specific emphasis on understanding the strategic change parameters of the business strategy. Once understood, the team will be in the best position to identify the requirements, drivers, issues, and constraints for this engagement. You would ensure that the target architecture addresses non-functional requirements so as to help forecast future impacts. "
26,0,"A. Depending on the nature of the architecture, a set of models should be created that can be used to ensure that the system will be compliant with the local regulations. Stakeholders should be able to view the models to see that their concerns have been properly addressed. "
26,0,"B. Each architecture activity should be developed using a consistent modeling approach that is uniform across all architecture projects. Each architecture should be defined based on this fixed set of models so that all concerned parties can examine the models to ensure that their issues and concerns have been addressed, "
26,1,C. A stakeholder map should be developed that allows the architects to define groups of stakeholders sharing common concerns. A set of views should then be defined that addresses the concerns for each group- <p>Architecture models can then be created for each view to address the stakeholders' concerns. 
26,0,"D. For those groups that have sufficient power and level of interest, a special report should be created that summarizes the key features of the architecture with respect to the particular location.<p>Each of these reports should reflect the stakeholders' requirements. "
27,0,"A. You gather information from credible industry sources in the commodities business. Based on that, you assess current trends and apply that to defining a set of principles that embody best practices. You select architecture principles that do not conflict with each other and that should be stable. You ensure that all the principles are realistic and avoid including principles that are obvious. "
27,0,"B. You examine the mission statements for the company and each of its businesses, together with the corporate value statements. Based on that, you define a set of principles and review with the CIO. When developing the principles you ensure that they actively promote the alignment of IT with the business strategies and initiatives of the company. You then seek the endorsement of the CIO and senior management. "
27,0,C. You define a set of principles that support the preferred best practices embodied in the Enterprise Architecture department charter. You publish the principles on the corporate intranet to ensure widespread acceptance and compliance. You then schedule regular periodic Compliance Assessments with individual business units to check that they have made satisfactory progress toward meeting the objectives and conditions embodied in the principles. 
27,1,"D. You examine the mission statements for the company and each of its businesses, together with the corporate value statements. Based on that, you work with the Architecture Board to define the principles. <p>When developing the principles you ensure that they actively promote the alignment of IT with the corporate business strategies. You then hold a series of review meetings with all the relevant stakeholders, including senior management, ensuring their support. "
28,0,"A. Common-use Applications, Data is Shared, Data is Accessible, Data Security, Interoperability, Control Technical Diversity "
28,0,"B. Business Continuity, Service-orientation, Data is Accessible, Data Security, Responsive<p>Change Management "
28,1,"C. Maximize Benefit to the Enterprise, Business Continuity, Common-use Applications, Data is<p>Shared, Data is Accessible, Data Security "
28,0,"D. Information Management is Everybody's Business, IT Responsibility, Data Trustee, Technology<p>Independence, Responsive Change Management "
29,1,"A. Identify the sources of threat, review the relevant security statutes, see how disaster recovery can be achieved, find who are the actors vis vis the system and design suitable access control mechanisms, identify critical data and applications and ensure that they are given the highest level of security "
29,0,"B. First revisit the Preliminary Phase to determine the tailoring of ADM vis a vis Security. Identify any change in the Principles or additions to be carried out. Engage with all Stakeholders to finalize the Vision. Then in Business, Information systems and Technology Architectures ensure the Security Frame work adopted to the ADM addresses all critical security issues. Finally conduct an overall review to assess how effective the security ecosystem designed is and whether it meets the security level desired "
29,0,"C. Invoke Preliminary Phase and Vision Phase Identify Sources of threat, review and determine revised regulatory, security and assumptions, document them get management buy in , develop business continuity plans especially for critical data operations, assure data, application and technological component security. "
29,0,"D. Determine who are the people who are hacking into similar organizations, ensure that highly secure measures are taken when external people enter the R&D and manufacturing locations, ensure that there is a very strong firewall so that people cannot get illicit entry into the system, periodically check the effectiveness of the security measures "
30,0,"A. In the first iteration start with the definition of the Target Business Architecture using a Top down Approach. <p>Then keep on iterating in Phase B till the Target Business Architecture is refined before going to Phase C and Phase D. After Phase C and Phase D are over, iterate again to Phase B and define the baseline Business Architecture, analyze the gaps finalize the Architecture Definitions documents and proceed to Phase C and Phase D. "
30,0,B. In the first iteration start with the definition of the Baseline Business Architecture using a Top Down approach. Define the Architecture Definition document after analyzing the impacts and reviewing with the stakeholders. Then proceed to Phase C and Phase D. In the next iteration finalize the Target Business Architecture and proceed to Phase C and Phase D. 
30,1,"C. In the first iteration start with the definition of the Baseline Business Architecture using a Bottom Up approach. Define the Architecture Definition document after analyzing the impacts and reviewing with the stakeholders. <p>Proceed to Phase C and Phase D. In the next iteration finalize the Target Business Architecture, determine the gaps and the roadmap, and the impact and update the Architecture Definition document. after analyzing the impacts and reviewing with the stakeholders. Then proceed with the iteration. "
30,0,"D. In the first iteration start with the definition of the Target Business Architecture using a Top Down approach. Define the Architecture Definition document after analyzing the impacts and reviewing with the stakeholders proceed to Phase C and Phase D. In the next iteration finalize the Baseline Business Architecture, determine the gaps and the roadmap, and the impact and update the Architecture Definition document. After analyzing the impacts and reviewing with the stakeholders. Then proceed with the iteration. "
31,0,"A. I would determine the business value of each solution, prioritize accordingly each set of solutions, conduct detailed Risk Assessment and Mitigation, do Compliance reviews and then implement the solutions. I would present my recommendations to the board for agreement. Once this is done, I would update the architectures reflecting any changes resulting from the board discussion. "
31,0,"B. I would after confirming Enterprise Change Attributes and constraints, do a Consolidated Gap Analysis then dependencies, then group and allocate the transitions. I would also assess Enterprise readiness and risks. <p>Then I would also assess the business value of the solutions, do risk analysis with mitigation and then schedule the work products. "
31,0,"C. I would do a Consolidated Gap Analysis by considering then dependencies, then group and allocate the transitions. I would then look to produce artifacts that describe the recommended projects, the risk, issues and dependencies. This would also include transition architects to move us from current architecture to the recommended target architectures. I would present my recommendations to the board for agreement. Once this is done, I would update the architectures reflecting any changes resulting from the board discussion. "
31,1,"D. I would look at the corporate culture and attitude to change, understand the constraints such as cost and the required time horizons. I would then look at the architecture work to ensure it is complete and seek to address any gaps. I would review the functional requirements and ensure there are complete interoperability requirements. I would then validate any dependencies and risks. Then formulate an implementation and migration strategy identifies major work packages and the transition architecture required. Finally, once agreement is reached with the board I will create project charters and re-factor any changes needed from the board discussion into the architecture. "
32,0,A. a) Maximize Benefit to the Enterprise b)Data Trustee c) Service Orientation d) Responsive Change Management 
32,0,B. a) Business Continuity b) Data is an Asset c) Data is Shared d) Requirements Based Change 
32,0,C. a) Maximize Benefit to the Enterprise b) Data is an Asset c) Data is Shared d) Requirements Based Change 
32,1,D. a) Business Continuity b).Data Trustee c) Technology Independence d) Responsive Change Management 
33,0,A. (i) System/Functions Matrix <p>(ii) Actor/Role Matrix <p>(iii) Data Entity/Business Function Matrix <p>(iv) Technology Portfolio Catalog <p>(v) Data Security Diagram 
33,0,B. (i) Goal/Objective/Service Diagram <p>(ii) Contract Measure Catalog <p>(iii) Data Dissemination Diagram <p>(iv) Application Communication Diagram <p>(v) Data Life Cycle Diagram 
33,0,C. (i) Location Catalog <p>(ii) Service/Function Catalog <p>(iii) Data Entity/Business Function Matrix <p>(iv) Application Communication Diagram 
33,1,D. (i) System/Functions Catalog <p>(ii) System/Technology Matrix <p>(iii) Goal/Objective/Service Diagram <p>(iv) Product Life Cycle Diagram <p>(v) Data Security Diagram 
34,1,"A. Firstly, I ensure there is a Request for Architecture Work from the CIO. Then I ensure that there is recognition for the architecture vision project by following any project management and programmed management frameworks used within the organization. I would identify the key stakeholders and engage with them to understand and document their concerns and high-level requirements. This would result in a stakeholder map used to support other deliverables such as the Architecture Vision, a Communications plan and a Statement of Architecture Work. I would then identify the business goals and strategic drivers of the organization and define any enterprise or project specific constraints such as time and resources. I would then define the business capabilities of the organization needed to fulfill those business goals and drivers and their readiness for change. Once complete, I would define the scope, confirm the architecture and business principles and develop the Architecture Vision. Following this, I would define the business case for the architecture project, assess the business risks and produce a risk mitigation plan. I would then define a plan of enterprise architecture work to meet the scope in the desired time line and the resources required and secure the support of stakeholders. "
34,0,"B. I would start by ensuring there is a Request for Architecture Work from the sponsor (the CIO). I would then create a project to define and deliver the architecture vision and the necessary outputs. The outputs include an approved Statement of Architecture Work, refined statements of<p>Businesses Principles, Business Goals and Business Drivers, Architecture Principles, a Capability Assessment, a Tailored Architecture Framework, an Architecture vision, a Communications plan. The Statement of Architecture Work needs to be clear on the scope of architectural work, the resources needed to complete the work and amount of time it would take to complete the work assuming the scope of architectural work is agreed and that all the resources required are available. The final step would be to agree the Statement of Architectural Work with stakeholders confirming the scope, schedule and confirming the availability of the necessary resources. "
34,0,"C. I would start by establishing the architecture project and follow the appropriate project management method. I would identify stakeholders their concerns and business requirements then confirm and elaborate the business goals, business drivers and constraints. I would then evaluate the business capabilities and readiness for business transformation and define the scope. I would then develop the architecture vision, define the target architecture value proposition, KPIs and identify and mitigate all risks associated with the transformation effort. Finally, I would develop an Enterprise Architecture Plan and Statement of Work and secure approval from the relevant stakeholders. "
34,0,"D. I would approach this by defining and establishing the architecture team and governance. This would be followed by agreeing and establishing the architecture principles. I would select and customize an architecture framework changing any terminology and selecting the right phases and customizing the structure of content and outputs from the chosen method. Finally I would select and implement and architecture tools. The outputs from this work would include an Organization Model for Enterprise Architecture, a Tailored Architecture Framework including method and content, the Architecture Principles, an initial architecture repository, restatement or references to business principles, business goals and business driver, a request for architecture work and the governance framework. "
35,0,"A. You tailor TOGAF 9 with the help of the Architecture Board to integrate it with the legacy procedures established by the PMO. You also examine the relationship of TOGAF with other processes and frameworks for governance, systems development and operations management.<p>You then define the footprint of the enterprise architecture. "
35,0,"B. As Lead Architect you create a Request for Architecture Work to allocate resources to work on the Architecture Vision. Based on the outcome of the Business Scenario technique you apply, you create the Common Systems Architecture to guide the choice of Solutions Building Blocks. These will be then used for integrating the systems across business units. "
35,1,C. You clarify the agreement on key business drivers and the scope of the enterprise architecture. You then clarify the requirements for architecture work. You define the architecture principles together with the help of the Architecture Board in order to lead the architecture work. You consider how to tailor TOGAF 9 for this enterprise. 
35,0,D. You conduct an Architecture Maturity Assessment. You then use the TOGAF ADM to state the requirements for the integration of a new company information management system into the organization. You then list a set of business goals together with the Architecture Board that will be a reference to the enterprise architecture program. 
36,0,"A. Risk Aversion Assessment should be conducted during the Implementation Governance phase to determine the degree of risk aversion of the proposed business transformation. After sharing the residual level of risk with the company chairman and the residual risk is not accepted, a set of parallel systems will be implemented to mitigate the risks. "
36,1,B. Your recommendation is to use risk management techniques to assess the risks associated with the proposed business transformation and ensure the existence of business continuity plans. During the Implementation Governance phase you conduct a residual risk assessment to manage risks that cannot be mitigated. 
36,0,C. During the Architecture Vision phase a risk assessment is conducted to mitigate initial risks and address those in the Architecture Contract signed in the Implementation Governance phase. 
36,0,D. Your proposal is to utilize a risk management framework during the Implementation<p>Governance phase to verify the risks associated with the proposed transformation of the business. You then share with the concerned stakeholders the residual level on risk before the Architecture<p>Contracts are released. 
37,0,A. Meeting with the project architect you clarify the purpose of the review. You ask to perform an objective and fair review using the checklists to frame the review and clarify that you want them to identify the issues behind the implementation team complaints. 
37,0,B. You organize a meeting with the review team and state the importance to identify any noncompliancy that may have come from the implemented solution. 
37,0,C. You organize a meeting with the review team and stress the importance of a high degree of compliance without any exception. The review should cover every aspect of the implementation and should criticize the implementation techniques. 
37,1,D. You verify that criteria for the program and the business objectives are mapped in the checklists that the project team prepared for the interviews. You confirm the checklist content to the project architect and stress the need to be objective and fair during the review process. 
38,0,"A. The Chief Architect will conduct the Migration planning and then share it with the other domain architects. <p>The migration plan will be formed by a list of projects, their priority, their costs and a recommendation on how to proceed. After the plan is shared with the Architectural Board members and any observation that may raise incorporated in the plan, any individual project will go in front of the board for the approval for resources for the next project increment. A GANT chart will be included to be used as a roadmap. "
38,1,"B. The Migration planning will be conducted as a series of steps: confirming and then coordinating the corporate management frameworks involved; establishing clear business value for the deliverables; creating detailed resource estimates for the work to do; define priority of the work, sequence and then the Transition Architectures. After this, an Implementation and Migration Plan can be confirmed. The Portfolio Management, Operations Management and Business Planning teams should be involved in the implementation of the major deliverables. Once these have been completed, regular meetings will be done to enable the architecture to be kept up-to-date. "
38,0,"C. Implementation and Migration Strategy will be used to define project plans focusing on scope, time and budget. The business value of each project is assessed and Project Managers will prepare submissions to the IT governance Board to ask for their funding and the Lead Architect will be active part of the board. The collection of project roadmaps and plans will be used to detail the EA Implementation and Migration Plan. "
38,0,"D. This step will be conducted by the Enterprise Architecture team involving Business, Application, Data, Technology, and Security architects. They will implement the Transition Architectures and together will prioritize a list of activities and include the Architecture Building Blocks in an Implementation and Migration Plan and Roadmap. After this, the comments on the deliverables shared with lines of business and the members of the Executive Board are integrated, this to enable the funding on the Enterprise Architecture work. "
39,0,A. You propose to start collecting the existing deliverables describing the different domains in order to enable the Enterprise Architecture tram to integrate them with the support of the operation management. Every domain architect will then evaluate the impact on the projects already planned for the domain. The single revised plans will be integrated together and consolidated into a strategic implementation and migration strategy defining an IT roadmap. 
39,0,B. You communicate the need for urgency. The projects already planned will be cancelled and the implementation of the new architecture vision will be set as first priority. A set of new projects will be defined to implement the new strategy. You will use the requirements from Phases B through D and define new projects for each one of the requirements. The use of defined interoperability architecture guidelines will then enable the project teams to work together and define a set of new point-to-point interfaces. 
39,1,C. You describe the concept of Transition Architectures and clarify that the business value can be achieved by all the projects delivering their increments in a coordinated approach. Capability gaps and project dependencies are analyzed for each domain this will then enable the projects to be organized in work packages. You will then agree on the roadmap for the implementation and migration strategy meeting with all the key stakeholders. 
39,0,D. You communicate the CIO's will to transform the corporation and then that he's seeking help from the domain architects to do that. The requirements are managed in order to enable every Architect to participate to the planning that will result in a detailed list of work activities with impact on the IT portfolio of projects. A five year Target Architecture will then be defined and a report will keep track of dependencies and factors assessment. 
40,0,"A. You ask the supplier to modify the web server hardware and software components so they can meet the current infrastructure standards. You advise to execute a proof of concept to anticipate any coding issue. Then, after the agreement with the development leads for supporting the development, you will provide the project plan to the project manager and develop an Architecture Contract. A set of frequent operational reviews to monitor the solution's performance is then scheduled after the implementation is completed. "
40,1,B. You recommend the co-existence of a second web server standard and modify the company Standards Information Base adding this new technology.You ask the project architects to create an Architecture Contract with the development teams. You identify the need of a performance testing and a compliance review You agree with the business on SLA and delivery dates. You identify re-usable procedures and objects. 
40,0,C. You eliminate the non-standard web server from the solution as recommended by the Architecture Board. You create a revised plan and Architecture Contract for the development stressing the re-use of standard technologies. You share the budget implication of this solution with a finance committee and inform the CIO of the long term cost benefits of this choice. You define periodical project management meetings to monitor compliance. 
40,0,D. You execute a risk analysis and set deliverables and timing requirements with the development team. You implement a detailed impact analysis of the chosen solution. You create an Architecture Contract and ask for the CIO's approval before implementing it. You test the solution just prior to implementation and deliver the project artifacts and store after the completion of the implementation. 
41,1,"A. Depict the Business Architecture using a Role catalog and a Process/Event/Control/Product catalog. Depict the Data Architecture using a System/Data matrix, a Data Entity/Data Component catalog and Data Security diagram. Depict the Application Architecture using an Interface catalog.<p>Define the Technology Architecture via a Network Computing/Hardware diagram. "
41,0,B. Depict the Business Architecture using a Business Interaction matrix and a Location catalog. Depict the Data Architecture using a Data Lifecycle diagram and a Data Migration diagram. Depict the Application Architecture using a Software Engineering diagram. Depict the Technology Architecture using a Communications Engineering diagram.  
41,0,"C. Depict the Business Architecture using a Business Footprint diagram and a Location catalog.<p>Depict the Data Architecture using a Data Migration diagram, System/Data matrix and Data Lifecycle diagram. Depict the Application Architecture using an Application Communication diagram. Depict the Technology Architecture using a Network Computing/Hardware diagram. "
41,0,"D. Depict the Business Architecture using a Role catalog and Location catalog. Depict the Data Architecture using a System/Data matrix, Data Entity/Business Function matrix and Data Security diagram. Depict the Application Architecture using an Application Interaction matrix. Define the<p>Technology Architecture via a Network Computing/Hardware diagram. "
42,0,A. Using the business scenarios technique you would identify supporting and not supporting stakeholders. <p>Then you would list the set of viewpoints that are addressing the stakeholder concerns and share these with them. 
42,0,B. You first priority is to communicate with the regional carrier stakeholders developing a Communications <p>Plan to share main features and discuss opportunities with them. 
42,0,C. You conduct a pilot proof of concept during Phase A to demonstrate the technical feasibility to the stakeholders explaining the approach available from your preferred suppliers. 
42,1,"D. You identify all the main stakeholders on both the acquired carrier and the rest of the enterprise. Using a stakeholder map, you classify and record their power in relation to this activity. You then focus on implementing the relevant viewpoints that can address the concerns of every main stakeholder identified in the stakeholders map. "
43,0,"A. You start with the Business Architecture and then address Technology, Application and Data domains. For every domain you select the relevant reference models, viewpoints, and tools. You develop a Target and Baseline Architecture Descriptions. Then perform Gap Analysis, resolve impacts across the Architecture Landscape and update the roadmap. Finally update the Architecture Definition Document. "
43,0,"B. You start with the Business Architecture and then address Data, Application and Technology domains. You then Confirm management framework interactions for the Implementation and Migration Plan, Prioritize the migration projects through the conduct of a cost/benefit assessment and risk validation. Then perform Gap <p>Analysis and update the Architecture Definition Document. "
43,1,"C. You start with the Business Architecture and then address Data, Application and Technology domains. For every domain you select the relevant reference models, viewpoints, and tools. You develop a Baseline and Target Architecture. Then perform Gap Analysis, assess the roadmap impacts and finally update the Architecture Definition Document. "
43,0,"D. You start with the Business Architecture and then address Data, Application and Technology domains. For every domain you develop a Baseline and Target Architecture. Then perform Gap<p>Analysis and update the Architecture Definition Document. "
44,1,"A. You identify key stakeholders, their concerns, and define the key business requirements to be addressed in the architecture engagement and generate a Stakeholder Map. You Evaluate business capabilities and execute a Business Transformation Readiness Assessment. You apply the Business Scenarios technique to create a high-level view of the Baseline and Target Architectures also based on the stakeholder concerns, business capability requirements, scope, constraints, and principles. "
44,0,"B. As requested by the CIO you focus on the Architecture Vision documentation and apply the Business Scenarios technique to create a high-level view of the Baseline and Target Architectures also based on the stakeholder concerns, business capability requirements, scope, constraints, and principles. "
44,0,C. You create a high-level view of the Target Architectures and then present them to the CIO. 
44,0,"D. As requested by the CIO you focus on the Architecture Vision and create a detailed view of the Baseline Architectures. This is done for Business, Data, Application and Technology domains and then presented to the CIO using the Architecture Definition Document. "
45,1,"A. You first list the data used across the enterprise using a Data Entity/Data Component Catalog, including data entities and also the data components where data entities are stored. You then classify what the data source are and the relationship with the data entities via a System/Data Matrix. You finally identify common data requirements using a Data Lifecycle Diagram. "
45,0,"B. You first list the data used across the enterprise using a Data Entity/Data Component Matrix, including data entities and also the data components where data entities are stored. You then classify what the data source are and the relationship with the data entities via a Role/System Catalog. You finally identify common data requirements using a Data Use Case Diagram. "
45,0,"C. You first list the data used across the enterprise using a Data Entity/Data Component Catalog, including data entities and also the data components where data entities are stored. You then classify what the data source are and the relationship with the data entities via a System/Data Matrix. "
45,0,"D. You first list the data used across the enterprise using a Data Entity/Data Component Catalog, including data entities and also the data components where data entities are stored. You then assign ownership of data entities to the organization via a System/Data Matrix. "
46,1,"A. You would define the Architecture Design and Development Contract with : introduction and background, the nature of the agreement, scope of the architecture, architecture and strategic principles and requirements, conformance requirements, Target Architecture Measures, Define phases of deliverables, Prioritized joint workplan, Time window, Architecture delivery and business metrics. "
46,0,"B. You would define the Architecture Design and Development Contract with : introduction and background, the nature of the agreement, scope of the architecture, architecture and strategic principles and requirements, conformance requirements, Baseline Architecture definition, Target Architecture Measures, Define phases of deliverables, Prioritized joint workplan, Time window, Architecture delivery and business metrics. "
46,0,"C. You would define the Architecture Design and Development Contract with : Target Architecture Measures, Define phases of deliverables, Prioritized joint workplan, Time window, Architecture delivery and business metrics. "
46,0,"D. You would define the Architecture Design and Development Contract with : scope, goals, objectives and constraints, Architecture Principles, Baseline Architecture, Architecture Models,<p>Gap Analysis, Impact Assessment. "
47,0,"A. Common Use Applications, Data is Shared, Data is Accessible, Data is Secure, Interoperability, Control, Technology Independence. "
47,0,"B. Business Continuity, Service-Orientation, Data is Shared , Data is Accessible, Data is Secure, Responsive Change Management. "
47,0,"C. Requirements-Based Change, Ease-of-Use, Data is Normalized. "
47,1,"D. Information Management is Everybody's business, IT Responsibility, Data Trustee, Technology<p>Independence, Responsive Change Management. "
48,0,A. I would examine the architecture work today ensuring it is complete and accurate and addressing any gaps. I would look at functional and integration requirements. I would then ensure all dependencies are understood and documented. I would then create the necessary artefacts including major work packages and transition architectures and the project charters for the recommended projects for presentation to the board. 
48,0,"B. I would assess the architecture work today, create, and priorities projects to transition Widget Inc from the current architecture to target architecture. This will include a business value for each project, the resources required and the intended timing. I would then validate the prioritizations with the board particularly looking at cost benefits and risks. Lastly, I would generate the Architecture Implementation Roadmap and document lessons learned. "
48,0,"C. I would assess the requirements of the organization particularly those requirements describing the functions required and information flows within the architecture. I would then look to produce artifacts that describe the recommended projects, the risk, issues and dependencies. This would also include transition architects to move us from current architecture to the recommended target architectures. I would present my recommendations to the board for agreement. Once this is done, I would update the architectures reflecting any changes resulting from the board discussion. "
48,1,"D. I would look at the corporate culture and attitude to change, understand the constraints such as cost and the required time horizons. I would then look at the architecture work to ensure it is complete and seek to address any gaps. I would review the functional requirements and ensure there are complete interoperability requirements. I would then validate any dependencies and risks. Then formulate an implementation and migration strategy identifies major work packages and the transition architecture required. Finally, once agreement is reached with the board I will create project charters and re-factor any changes needed from the board discussion into the architecture. "